dist_lgd,n_months,n_raw_surges,n_raw_dips,sign_flip_rate,surge_artefact_rate,dip_artefact_rate,surge_artefact_among_surges,dip_artefact_among_dips,method,n_complete,med_total
482,52,4,5,0.4423076923076923,0.057692307692307696,0.07692307692307693,0.75,0.8,STL,52,1714.5
483,52,4,3,0.5192307692307693,0.038461538461538464,0.038461538461538464,0.5,0.6666666666666666,STL,52,2371.5
484,52,7,9,0.28846153846153844,0.057692307692307696,0.09615384615384616,0.42857142857142855,0.5555555555555556,STL,52,861
485,52,10,11,0.36538461538461536,0.1346153846153846,0.1346153846153846,0.7,0.6363636363636364,STL,52,440
486,52,15,18,0.19230769230769232,0.15384615384615385,0.23076923076923078,0.5333333333333333,0.6666666666666666,STL,52,244
487,52,12,9,0.2692307692307692,0.1346153846153846,0.07692307692307693,0.5833333333333334,0.4444444444444444,STL,52,686
488,52,17,18,0.21153846153846154,0.09615384615384616,0.11538461538461539,0.29411764705882354,0.3333333333333333,STL,52,147.5
489,52,12,17,0.34615384615384615,0.17307692307692307,0.1346153846153846,0.75,0.4117647058823529,STL,52,160.5
490,52,7,8,0.25,0.07692307692307693,0.09615384615384616,0.5714285714285714,0.625,STL,52,1598.5
491,52,16,16,0.15384615384615385,0.23076923076923078,0.17307692307692307,0.75,0.5625,STL,52,326
492,52,17,15,0.3076923076923077,0.23076923076923078,0.09615384615384616,0.7058823529411765,0.3333333333333333,STL,52,171.5
493,52,13,17,0.3076923076923077,0.17307692307692307,0.17307692307692307,0.6923076923076923,0.5294117647058824,STL,52,348.5
494,52,14,14,0.28846153846153844,0.19230769230769232,0.1346153846153846,0.7142857142857143,0.5,STL,52,253.5
495,52,18,18,0.3269230769230769,0.11538461538461539,0.17307692307692307,0.3333333333333333,0.5,STL,52,61
496,52,13,14,0.28846153846153844,0.11538461538461539,0.11538461538461539,0.46153846153846156,0.42857142857142855,STL,52,557
497,52,9,7,0.34615384615384615,0.09615384615384616,0.07692307692307693,0.5555555555555556,0.5714285714285714,STL,52,2697.5
498,52,14,17,0.17307692307692307,0.11538461538461539,0.11538461538461539,0.42857142857142855,0.35294117647058826,STL,52,149
499,52,13,15,0.3076923076923077,0.11538461538461539,0.11538461538461539,0.46153846153846156,0.4,STL,52,129
500,52,12,15,0.3269230769230769,0.07692307692307693,0.17307692307692307,0.3333333333333333,0.6,STL,52,308.5
501,52,16,19,0.19230769230769232,0.15384615384615385,0.17307692307692307,0.5,0.47368421052631576,STL,52,133
502,52,9,8,0.40384615384615385,0.1346153846153846,0.07692307692307693,0.7777777777777778,0.5,STL,52,315.5
503,52,10,12,0.28846153846153844,0.1346153846153846,0.1346153846153846,0.7,0.5833333333333334,STL,52,207
504,52,12,11,0.34615384615384615,0.15384615384615385,0.17307692307692307,0.6666666666666666,0.8181818181818182,STL,52,388.5
505,52,8,10,0.36538461538461536,0.057692307692307696,0.09615384615384616,0.375,0.5,STL,52,272
506,52,5,6,0.3269230769230769,0.057692307692307696,0.07692307692307693,0.6,0.6666666666666666,STL,52,499.5
507,52,8,7,0.4230769230769231,0.11538461538461539,0.057692307692307696,0.75,0.42857142857142855,STL,52,1360
508,52,18,18,0.25,0.11538461538461539,0.11538461538461539,0.3333333333333333,0.3333333333333333,STL,52,150
509,52,14,17,0.21153846153846154,0.1346153846153846,0.09615384615384616,0.5,0.29411764705882354,STL,52,261
510,52,11,11,0.3269230769230769,0.09615384615384616,0.07692307692307693,0.45454545454545453,0.36363636363636365,STL,52,507
511,52,9,11,0.46153846153846156,0.09615384615384616,0.11538461538461539,0.5555555555555556,0.5454545454545454,STL,52,437.5
512,52,18,18,0.23076923076923078,0.1346153846153846,0.11538461538461539,0.3888888888888889,0.3333333333333333,STL,52,150
513,52,21,22,0.2692307692307692,0.09615384615384616,0.15384615384615385,0.23809523809523808,0.36363636363636365,STL,52,73
514,52,13,11,0.4423076923076923,0.19230769230769232,0.038461538461538464,0.7692307692307693,0.18181818181818182,STL,52,199
515,52,11,12,0.38461538461538464,0.15384615384615385,0.11538461538461539,0.7272727272727273,0.5,STL,52,394.5
516,52,12,10,0.21153846153846154,0.15384615384615385,0.07692307692307693,0.6666666666666666,0.4,STL,52,183
517,52,8,8,0.3269230769230769,0.019230769230769232,0.09615384615384616,0.125,0.625,STL,52,376
518,52,11,10,0.3076923076923077,0.15384615384615385,0.11538461538461539,0.7272727272727273,0.6,STL,52,436.5
519,52,10,11,0.38461538461538464,0.09615384615384616,0.057692307692307696,0.5,0.2727272727272727,STL,52,283.5
520,52,13,12,0.3269230769230769,0.15384615384615385,0.09615384615384616,0.6153846153846154,0.4166666666666667,STL,52,461
521,52,10,14,0.3269230769230769,0.1346153846153846,0.11538461538461539,0.7,0.42857142857142855,STL,52,233.5
522,52,17,20,0.23076923076923078,0.07692307692307693,0.11538461538461539,0.23529411764705882,0.3,STL,52,27
523,52,5,12,0.40384615384615385,0.07692307692307693,0.15384615384615385,0.8,0.6666666666666666,STL,52,230
524,52,13,13,0.3076923076923077,0.15384615384615385,0.1346153846153846,0.6153846153846154,0.5384615384615384,STL,52,239.5
525,52,10,7,0.38461538461538464,0.1346153846153846,0.057692307692307696,0.7,0.42857142857142855,STL,52,1230
526,52,18,16,0.3269230769230769,0.17307692307692307,0.1346153846153846,0.5,0.4375,STL,52,78
527,52,11,13,0.2692307692307692,0.057692307692307696,0.09615384615384616,0.2727272727272727,0.38461538461538464,STL,52,354.5
528,52,16,15,0.25,0.25,0.17307692307692307,0.8125,0.6,STL,52,274.5
529,52,8,10,0.3269230769230769,0.057692307692307696,0.09615384615384616,0.375,0.5,STL,52,202.5
530,52,16,17,0.25,0.17307692307692307,0.09615384615384616,0.5625,0.29411764705882354,STL,52,200
531,52,16,15,0.23076923076923078,0.1346153846153846,0.11538461538461539,0.4375,0.4,STL,52,87
532,52,20,20,0.21153846153846154,0.1346153846153846,0.11538461538461539,0.35,0.3,STL,52,58
533,52,14,13,0.3269230769230769,0.19230769230769232,0.1346153846153846,0.7142857142857143,0.5384615384615384,STL,52,157.5
534,52,9,10,0.4423076923076923,0.17307692307692307,0.15384615384615385,1,0.8,STL,52,232.5
535,52,15,14,0.28846153846153844,0.1346153846153846,0.15384615384615385,0.4666666666666667,0.5714285714285714,STL,52,197
536,52,9,11,0.3076923076923077,0.07692307692307693,0.09615384615384616,0.4444444444444444,0.45454545454545453,STL,52,261.5
537,52,16,14,0.28846153846153844,0.1346153846153846,0.09615384615384616,0.4375,0.35714285714285715,STL,52,124
538,52,10,13,0.2692307692307692,0.11538461538461539,0.11538461538461539,0.6,0.46153846153846156,STL,52,335
539,52,16,15,0.3269230769230769,0.19230769230769232,0.1346153846153846,0.625,0.4666666666666667,STL,52,106.5
540,52,12,10,0.4230769230769231,0.17307692307692307,0.09615384615384616,0.75,0.5,STL,52,105.5
541,52,20,18,0.23076923076923078,0.15384615384615385,0.11538461538461539,0.4,0.3333333333333333,STL,52,33.5
542,52,11,15,0.21153846153846154,0.07692307692307693,0.1346153846153846,0.36363636363636365,0.4666666666666667,STL,52,106.5
543,52,16,15,0.25,0.1346153846153846,0.09615384615384616,0.4375,0.3333333333333333,STL,52,216
544,52,17,14,0.23076923076923078,0.1346153846153846,0.1346153846153846,0.4117647058823529,0.5,STL,52,115
545,52,8,8,0.28846153846153844,0.09615384615384616,0.07692307692307693,0.625,0.5,STL,52,301
546,52,15,11,0.21153846153846154,0.1346153846153846,0.11538461538461539,0.4666666666666667,0.5454545454545454,STL,52,381
547,52,12,12,0.21153846153846154,0.057692307692307696,0.11538461538461539,0.25,0.5,STL,52,146.5
548,52,13,13,0.36538461538461536,0.15384615384615385,0.15384615384615385,0.6153846153846154,0.6153846153846154,STL,52,224.5
549,52,17,16,0.28846153846153844,0.21153846153846154,0.19230769230769232,0.6470588235294118,0.625,STL,52,113
550,52,13,18,0.3076923076923077,0.09615384615384616,0.21153846153846154,0.38461538461538464,0.6111111111111112,STL,52,65.5
551,52,16,16,0.23076923076923078,0.09615384615384616,0.07692307692307693,0.3125,0.25,STL,52,119
552,52,18,16,0.36538461538461536,0.21153846153846154,0.17307692307692307,0.6111111111111112,0.5625,STL,52,45
553,25,3,13,0.44,0.08,0.04,0.6666666666666666,0.07692307692307693,simple,52,1
554,52,14,17,0.19230769230769232,0.15384615384615385,0.15384615384615385,0.5714285714285714,0.47058823529411764,STL,52,70
555,52,12,11,0.3076923076923077,0.15384615384615385,0.11538461538461539,0.6666666666666666,0.5454545454545454,STL,52,225
556,52,17,21,0.23076923076923078,0.057692307692307696,0.1346153846153846,0.17647058823529413,0.3333333333333333,STL,52,23
557,52,9,12,0.2692307692307692,0.1346153846153846,0.09615384615384616,0.7777777777777778,0.4166666666666667,STL,52,123
558,52,19,19,0.21153846153846154,0.11538461538461539,0.07692307692307693,0.3157894736842105,0.21052631578947367,STL,52,47.5
559,52,16,16,0.38461538461538464,0.17307692307692307,0.1346153846153846,0.5625,0.4375,STL,52,108.5
560,52,13,13,0.2692307692307692,0.15384615384615385,0.07692307692307693,0.6153846153846154,0.3076923076923077,STL,52,145
561,52,11,13,0.34615384615384615,0.1346153846153846,0.17307692307692307,0.6363636363636364,0.6923076923076923,STL,52,226.5
562,52,11,13,0.28846153846153844,0.057692307692307696,0.07692307692307693,0.2727272727272727,0.3076923076923077,STL,52,135
563,52,13,15,0.2692307692307692,0.07692307692307693,0.09615384615384616,0.3076923076923077,0.3333333333333333,STL,52,127.5
564,52,15,17,0.19230769230769232,0.15384615384615385,0.17307692307692307,0.5333333333333333,0.5294117647058824,STL,52,63
565,52,10,10,0.4423076923076923,0.17307692307692307,0.11538461538461539,0.9,0.6,STL,52,220.5
566,52,12,13,0.3269230769230769,0.1346153846153846,0.1346153846153846,0.5833333333333334,0.5384615384615384,STL,52,183
567,52,14,17,0.28846153846153844,0.1346153846153846,0.09615384615384616,0.5,0.29411764705882354,STL,52,34.5
568,52,7,7,0.4807692307692308,0.1346153846153846,0.09615384615384616,1,0.7142857142857143,STL,52,1129.5
569,52,11,6,0.34615384615384615,0.17307692307692307,0.07692307692307693,0.8181818181818182,0.6666666666666666,STL,52,351
570,52,16,11,0.34615384615384615,0.25,0.15384615384615385,0.8125,0.7272727272727273,STL,52,221.5
571,52,10,12,0.25,0.038461538461538464,0.09615384615384616,0.2,0.4166666666666667,STL,52,126.5
572,52,12,11,0.3269230769230769,0.15384615384615385,0.09615384615384616,0.6666666666666666,0.45454545454545453,STL,52,219
